Unique ID,Last Name,First Name,Title of the Presentation ,Year ,Summary,Topics (L),Region (L),Sub-region,Checked,,Notes
FolNan,Folbre,Nancy,The Invisible Heart: Economics and Family Values,2000,Plenary session for closing of conference,Aging;Disability;Citizenship;Class;Gender;Governance;Labor;Market services;Social care;Social practices;Theory,N/A,N/A,TRUE,,
FoxBon;KelChr2,Fox;Kelleher,Bonnie;Christa,"Changing
Diapers and Changing Men: Differential Parenting Roles in Infant Care",2000,"This study poses two main questions: What are the strategies women and men
employ to manage infant caregiving within a context of privatized caregiving?; and
Do women work to create an accommodating, comfortable atmosphere for men to
participate in childcare, and if so, how? Data come from approximately 70
unstructured or semi-structured interviews conducted in the context of two distinct
but intersecting studies of parenting and postpartum care based in Toronto,
Canada. This research aims to enhance our understanding of the social dynamics
of baby care in the home, the processes, structures, and institutions that underlie
gender inequalities in caregiving, and the extent to which women and men are
agents in shaping differential parenting roles.",Gender;Labor;Social care;Social practices,Canada,Toronto,TRUE,,
GadViv,Gadsden,Vivian,Constructing Caregiving within Families: The Tension between Policy Mandates and the Cultural Need for Difference and Integrity,2000,Presentation to plenary session of inaugural conference,Governance;Labor;Race;Social care;Social practices,N/A,N/A,TRUE,,
GerMar;SarNat;MunRac,Gerena;Sarkisian;Munoz,Mariana;Natalia;Rachel,"Detecting Distinctions: Latinas, Latinos, and Care Work",2000,"Carework literature either conflates Latino/a groups into a single category or treats
them separately, regardless of the questions posed. Question-specific and gender-
sensitive analysis is required. Using the NSFH II, we compare the carework of
Latina/o groups to each other and to Euro-Americans, stressing differences and
similarities overall and by gender.",Class;Gender;Labor;Race;Social care;Social practices,United States,N/A,TRUE,,
GlaReb;ArmAmy,Glauber;Armenia,Rebecca;Amy,In Sickness and in Health: Gender Differences in Caring for Well and Disabled Parents,2000,"Using nationally representative data, this paper examines gender differences in caregiving to parents, including the provision of financial, emotional, and practical care, and the intensity of such care. Furthermore, we aim to situate differences in caregiving within larger systems of inequality, as well as within differences in employment and family characteristics.",Disability;Gender;Labor;Social care;Social practices,N/A,N/A,TRUE,,
GleEve,Glenn,Evelyn Nakano,"Reproducing Inequality: Race, Class and Caring Labor",2000,Presentation to plenary session of inaugural conference,Class;Gender;Governance;Labor;Market services;Race;Social practices,N/A,N/A,TRUE,,
HerPam;MeyMad,Herd;Meyer,Pamela;Madonna,Care work: Invisible Civic Engagement,2000,"Theoretically and with reference to literature on caregiving work, examines care as an issue of citizenship rather than gender.  Explores carework as a form of civic engagement. Co-authored with Madonna Harrington Meyer.",Citizenship;Gender;Governance;Labor;Market services;Social care;Social practices;Theory,N/A,N/A,TRUE,,
KapEla;DavChr,Kaplan;Davidson,Elaine;Christopher,"Doing Care on the Run: How Working Parents Negotiate the Care of Young Adolescent
Children",2000,"Drawing on theories of care and in-depth interviews, this study identifies how
working parents of young adolescents participate in a division of physical and
emotional labor. The parents develop complex strategies that rely on gender and
racialized experiences, and that have consequences for the emotional life of these
families.",Affect;Gender;Labor;Market services;Race;Social care;Social practices,N/A,N/A,TRUE,,
KriKat,Kriz,Katrin,"A Tale of Two Countries: How Family Policy Shapes the
Distribution of Childcare Work in German and British Families",2000,"This paper explores the role that German and British family policies play in shaping
the distribution of childcare work in middle-class and working-class families. In
particular, this study, which is based on in-depth interviews with parents with
preschool-age children, analyzes how gender and class are implicated in the impact
of family policies on the distribution of childcare work",Aging;Class;Gender;Governance;Labor;Market services;Social care;Social practices;,Scandanavia;Western Europe,Britain;Germany;Sweden,TRUE,,
KurDem,Kurz,Demie,The Study of Carework: Current Issues and Future Directions,2000,Plenary session for closing of conference,Social care;Social practices,N/A,N/A,TRUE,,
KurDem,Kurz,Demie,Caring for Teenage Children: Issues and Dilemma,2000,"The focus of this paper is parents', primarily mothers' management strategies in
caring for their teenage children. The paper focuses on: their negotiations with their
teenage children over a variety of social issues; the work they do in relation to their
teens' schooling; and their conceptions and beliefs about the nature of this work.",Class;Gender;Labor;Social care;Social practices;Theory,N/A,N/A,TRUE,,
KylIre,Kyle,Irene,"Contradictory Constructions of
Carework: Contrasting Public and Private Notions of “Good” Caregiving",2000,"Kyle looks at the definition of quality in family day care based on comments of
Southern Ontario providers. Providers' accounts expand the definition of quality
beyond the usual professional focus on child development to a consideration of the
circumstances of the careworker. Providers' definitions also suggest many carers
bring a sense of personalagency and ""ethics of care"" to their understanding of
carework.",Ethics;Governance;Labor;Market services;Metrics;Social care;Social practices,Canada,Ontario,TRUE,,
LitJac,Litt,Jacquelyn,The Public Mother: Visibility and Regulation in the Lives of Low-Income Mothers on Public Assistance,2000,"In soliciting government services for their families, poor mothers are regularly positioned as potential offenders to child safety. Through ethnographic interviews with low-income women, I examine the signs that public welfare officials use to measure maternal harm (e.g. ""bad"" housekeeping and ""lax"" discipline) and women's responses to them.",Citizenship;Class;Gender;Governance;Labor;Market services;Metrics;Race;Social care;Social practices,United States,N/A,TRUE,,
LonAnd;ScoEll;EdiKat,London;Scott;Edin,Andrew;Ellen;Kathryn,"Health-Related Caregiving and Welfare
Reform: The Choices Welfare-Reliant Women and Policy Makers Face",2000,"This paper examines the experiences of welfare-reliant women who are providing
community-based care to sick children or other relatives in the era of welfare
reform. Data come from longitudinal, ethnographic interviews with women in
Cleveland and Philadelphia, which were conducted as part of MDRC's Project on
Devolution and Urban Change.",Class;Gender;Governance;Healthcare;Labor;Market services;Race;Social care;Social practices,United States,Cleveland;Philadelphia,TRUE,,
MacCam,Macdonald,Cameron,"Love and Money: Recognizing and
Valuing Care Work",2000,"Macdonald presents a comparative analysis of work re-valuation strategies among
childcare workers and nurses. Workers use a variety of approaches that ultimately
reinforce the gendered binaries of love /money, instinct/skill, and
altruism/selfishness. She considers strategies that re-frame this binary to recognize
all aspects of paid care work.",Affect;Class;Gender;Healthcare;Labor;Market services;Metrics;Social care;Social practices;Theory,N/A,N/A,TRUE,,
MerDav,Merrill,David,The Value of Care: Discourse and Nurses,2000,"Based on a content analysis of hospital management literature, David Merril argues
that the medical and bureaucratic discourses genders and devalues nurses’ work
and overlook much of the important work that nurses do.",Affect;Class;Gender;Healthcare;Labor;Market services;Metrics;Social care;Social practices;Theory,N/A,N/A,TRUE,,
MorChr,Morton,Christine,"From Private to Public: The
Emergence of Labor Support Professionals within Maternity Care",2000,"This paper examines the contours of woman-supported childbirth as it is
transforming from a community based practice into a newly defined caring
profession. The doula, or labor support person, provides emotional and physical
support and information advocacy as a paid caregiver to birthing women in home
and hospital settings.",Gender;Healthcare;Labor;Market services;Social care;Social practices,United States,N/A,TRUE,,
NapNan;DobMar,Naples;Dobson,Nancy;Marnie,"Care, Community Activism, and Citizenship: Towards a Multiracial Feminist Social Democratic Praxis",2000,Comparative research on Aboriginal women and African American and Puerto Rican women employed by the state leads to a reconsideration of the politics of community carektaking. These community caretakers were drawn to community work based on their commitment to further social justice and oppose institutional racism in their communities.,Citizenship;Class;Gender;Governance;Healthcare;Indigenous peoples;Labor;Market services;Race;Social care;Social practices;Theory,Australasia;United States,Australia;New York City;Philadelphia,TRUE,,
OliSta,Oliker,Stacy,Challenges for Studying Care after AFDC,2000,"Mandatory work after the end of AFDC may propel changes in the care of children and elders of single mothers. Using social network analysis and data on families under AFDC, this paper suggests how changes in norms and beliefs about care may make it difficult to discover changes in practices.",Class;Gender;Governance;Race;Labor;Market services;Metrics;Social care;Social practices,United States,N/A,TRUE,,
PeeMel,Peele,Melanie,A Hospice Ethic of Care? A Case Study of Ideology and Practice,2000,"Based upon ongoing ethnographic research at a northeastern hospice I explore
how typical interpretations of a “hospice ethic of care” are consistently and
paradoxically defined and practiced by hospice staff and volunteers. My findings
show that organizational changes within hospice transform both the “hospice ethic
of care” and in-patient care.",Aging;Ethics;Healthcare;Labor;Market services;Social care;Social practices,United States,N/A,TRUE,,
PolRiv,Polatnick,M. Rivka,“Issues of After-School Care at the Middle School Level”,2000,"Based on research in a California urban area, this study addresses the challenges
of providing school-based after-school care for middle school students. The focus is
on the different agendas, attitudes, and needs of students, their diverse working
parents, school and after-school staff, and funding agencies.",Class;Labor;Market services;Race;Social care;Social practices,United States,California,TRUE,,
PugAll,Pugh,Allison,"What Sleep Can Tell Us About Care: Power, Ideology and Practice",2000,"Pugh argues sleep is a form of care - of others and ourselves. People use sleep to
express their ethos of care, and to organize dependence and autonomy. Relying on
a notion of power as diffuse and mutable, Pugh analyzes varieties of sleep
practices as communicating and contesting power in families.",Ethics;Social care;Social practices,N/A,N/A,TRUE,,
SanAnd;AbeEmi,Sankar;Abel,Andrea;Emily,Beyond Personal Experience: An Analysis of Caregiving Practice,2000,"Based on in-depth interviewers with caregivers of dying parents with dementia and
people dying at home, Sankar and Abel use practice theory to analyze the content
of caregiving work. They discover that caregiving practice creates a legacy for the
care receiver, and enacts core cultural values through a) preserving life, b)
sustaining social roles and resolving conflicts, c) providing care recipients
opportunities to embody core values, and to provide a legacy for the caregiver.
These activities explain why caregivers find their caregiving profoundly meaningful.",Affect;Aging;Class;Gender;Governance;Healthcare;Labor;Market services;Social care;Social practices;Technology,N/A,N/A,TRUE,,
SarNat;GerMar;GerNao,Sarkisian;Gerena;Gerstel,Natalia;Mariana;Naomi,"More or Less Kin: Addressing Debates on Care Work in African American
Communities",2000,"Many argue that African American communities include abundant ties that ensure
survival under conditions of economic hardship. Others suggest that recent
changes destroyed these communities, leaving African Americans with fewer ties
than Euro-Americans. To address this debate, we use NSFH to compare African
and Euro-Americans co-residence and caregiving patterns.",Class;Gender;Labor;Race;Social care;Social practices,United States,N/A,TRUE,,
SchMic,Schunk,Michaela,"Welfare States, Institutional Environments And Cultures Of Care: The Cross-National Comparison Of Care Delivery
And Pathways Through Care For Older People",2000,"With data from local case studies of care delivery for older people in the US,
Germany and Britain, Schunk explores the benefits and limitations of two
methodological approaches for the cross-national comparison of care, (1) model
cases of pathways through care and (2) institutional ethnography.",Aging;Governance;Healthcare;Market services;Metrics;Social care;Social practices;Theory,United States;Western Europe,United States;Germany;Britain,TRUE,,
TraRan,Traustadottir,Rannveig,"Rejected Carers: Gender, Caring and Marginalization",2000,"Traustadottir uses an ethnographic approach to examine the experiences of women with disabilities, lesbians and immigrant women who are often marginalized with respect to gender and caring.",Disability;Gender;Healthcare;Labor;Market services;Migration;Queer;Social care;Social practices,N/A,N/A,TRUE,,
TreLin,Treiber,Linda,The Care-Cure Dilemma: Straddling the Faultline Between Nursing’s and Medicine’s Way of Knowing,2000,"This paper critically examines dichotomous thinking and its effects on the gender
based division of labor in the health care profession where ""curing"" is the province
of male physicians and ""Caring"" is associated with women's work. The analysis will
show that health care has been distorted, producing an unequal relationship
between curing and care.",Affect;Ethics;Gender;Healthcare;Labor;Market services;Metrics;Social care;Social practices;Theory,United States,N/A,TRUE,,
TuoMar,Tuominen,Mary,The Politicization of Paid Care Workers: Organizing and Activism Among Childcare Providers,2000,"Ethnographic analysis of childcare organizing 1) reveals the limitations of theories of political, economic and labor sociology in explaining political consciousness and activism among paid care workers; and 2) contributes to the development of new theories and models to facilitate effective organizing among the diverse women who comprise the childcare workforce",Affect;Class;Gender;Governance;Labor;Market services;Migration;Race;Social care;Social practices;Theory,United States,N/A,TRUE,,
UttLyn,Uttal,Lynet,Going Public: Why Child Care Work is still Women's Work,2000,"Feminists assumed gendered divisions of reproductive labor would disappear when
reproductive labor was socialized. Yet, childcare work remains highly gendered
even in the form of a market-based service. This paper will examine why caregiving
in childcare arrangements remain the primary responsibility of women, both as
mothers and as childcare providers.",Affect;Class;Gender;Governance;Labor;Market services;Metrics;Race;Social care;Social practices;Theory,N/A,N/A,TRUE,,
WaeKar,Waerness,Kari,"Care work in the Scandinavian Welfare State - How is it Changing in Late
Modernity?",2000,Presentation to plenary session of inaugural conference,Class;Gender;Governance;Labor;Market services;Social care;Social practices;Theory,Scandanavia;Western Europe,Britain,TRUE,,
ZimMar,Zimmerman,Mary K.,Care Work as a Production of State-Market-Family Relations in Finland and the U.S.,2000,"This paper compares social policies in Finland and U.S., arguing that the scope and
content of carework is adjudicated by the state-market-family nexus. Data from 80
families with chronically ill children in both countries are used to examine carework,
the impact of serious illness on the family, and variation in illness experience
according to state-market-family configurations.",Class;Disability;Gender;Governance;Healthcare;Labor;Market services;Migration;Social care;Social practices;Theory,Scandanavia;United States,Finland;United States,TRUE,,
 YamYok,Yamamoto,Yoko,Challenges Facing Mothers in Japan: Social Networks and the Scope of Child-Rearing Carework,2001,"Although Japanese mothers have been generally regarded as effective caretakers for children in cross-cultural studies, increasing reports of child-rearing neurosis and childabuse within Japan question this belief. In order to elucidate current child-rearing issues, 120 Japanese mothers of preschoolers were interviewed and subsequently completed a questionnaire assessing social support and maternal efficacy. Mothers’ role construction as caretakers and their satisfaction towards supports were analyzed utilizing mixed methods (i.e. both quantitative and qualitative). This study illustrates how beliefs and types of childrearing are shaped by unique cultural models associated with social structure, and how the construction of an informal female network could exacerbate or relieve the burden of child-rearing in a society of “collectivism.",Class;Gender;Labor;Social care;Social practices,East Asia,Japan,TRUE,,
AdaMic;ColSco,Adams;Coltrane,Michele;Scott ,Children's Housework in Working Class Mexican American Families,2001,"We look at children’s housework and sibling care in a sample of 278 Mexican American and European American families. Findings show that MA children average significantly more housework per week than EA children. In dual-earner families, MA children do significantly less childcare than in single-earner families, and daughters do more childcare and housework than sons. Multivariate models support theories about the importance of ethnicity, gender, and ideology for the allocation of family work. In general, children’s work tends to substitute for mothers’ work, and allocation of children’s housework tends to reflect traditional gender socialization patterns.",Class;Gender;Labor;Race;Social care;Social practices,United States,California,TRUE,,
ArmPat,Armstrong,Pat,Health Care Reform in Canada,2001,"What is happening in Canadian health care reform? What does it mean for women? To
address these questions, we use privatization as our central frame. We define the term
more broadly than in the traditional economic sense, using privatization to include several
different policy directions which limit the role of the public sector and define health care as
a private responsibility. We are interested in what consequences reforms have for women
as providers and patients, and their impact on women’s participation in the decision-
making process. But we are equally aware that there are other significant differences
among women related to their physical, social, economic, cultural/racial locations and their
age and sexual orientation. Which women are affected, in what ways, by which reforms
are central questions in this work.",Citizenship;Gender;Governance;Healthcare;Labor;Market services;Metrics,Canada,Ontario,TRUE,,
ArmPat;ArmHug;BouIvy;ChoJac;MykEri;WhiJer,Armstrong;Armstrong;Bourgeault;Choiniere;Mykalhovskiy;White,Pat;Hugh;Ivy;Jacqueline;Erich;Jerry,California Nurses Speak About Managed Care,2001,"The purpose of this study is to examine the claims made for Managed Care, the increasingly important approach to health care delivery in the United States and one which the US is exporting throughout the world. More specifically, it examines the claims that Managed Care provides an integrated continuum of services; accountable, appropriate, quality care; and an emphasis on health promotion, or at least disease prevention. Based on the assumption that the mainly women who provide care know how the new management system works in practice, this paper explores how California nurses experience Managed Care and assess the claims made by those promoting such systems",Affect;Citizenship;Class;Ethics;Gender;Governance;Healthcare;Labor;Market services;Social care;Social practices;Theory,United States,California,TRUE,,
BouSal,Bould,Sally,Neighborhoods as a Locus of Inequalities in Carework,2001,"Inequalities among families raising children have been documented in an extensive literature on the effects of social class, race and the parents' gender. In addition, white middle class, two parent families can choose neighborhoods that provide not only good schools and a safe environment but also a caring and supportive context in which to supervise teenagers. This study analyzes 291 middle class suburban neighborhoods from the Northeastern United States. A majority of the suburban middle class neighborhoods in this study provide neighborhood social capital not only in terms of help but also some element of supervision over teenage behavior. These findings are contrasted with the situation in urban poor black neighborhoods where each parent, usually the mother, must be entirely self sufficient and cannot even count on the police for help.",Citizenship;Class;Gender;Labor;Race;Social care;Social practices;Theory,United States,N/A,TRUE,,
CohRin,Cohen,Rina,"Not Just Paper Children': Transnational Motherhood among Filipina Domestic Workers
in Toronto",2001,"Transnational motherhood is a result of social, racial, gender, and national inequality.
Utilizing literature on transnationalism, motherhood, domestic workers and immigration
policies in Canada, this study examines the experiences of Filipina mothers who are
employed as domestic workers in Toronto while caring for children in the Philippines.
Drawing on survey and in-depth interview data, this study documents the strategies
employed by live-in domestic workers in constructing transnational motherhood. In order
to endure long temporal and geographical separation from their children, transnational
mothers enhance their role as breadwinners and condense their role as face-to-face
nurturers, complimenting it with surrogates. They redefine motherhood to withstand the
coerced necessity to mother from afar. The study concludes by presenting policy changes
to enable live-in domestic workers to choose the kind of motherhood they would like to
practice.",Class;Gender;Governance;Labor;Market services;Migration;Race;Social care;Social practices,Canada,Toronto,TRUE,,
DavChr,Davidson,Christopher,Three Types of Family Solidarity,2001,"Most literature on family-work conflict assumes the centrality of work as a source of meaning, and critiques the economic injustices of the market economy while skirting the issue of the cultural hegemony of the marketplace. I argue that work-family conflict is a manifestation of the hegemony of individualism and families' attempts to resist it. Using data from interviews with 5 upper-middle-class Jewish families, I argue that time bind conflicts are signs of competing allegiances to four sources of identity -- the expressive self, the utilitarian self, the extended family, and the community of memory. Time binds mask conflicts over the meaning of family, over who cares for whom, when and in what way",Class;Labor;Market services;Social care;Social practices,N/A,N/A,TRUE,,
DodLis;ManTif,Dodson;Manuel,Lisa;Tiffany,Across the Boundaries of Paid Work and Care Work in Low-Income America,2001,"This paper will draw out central problems and ""kitchen-table strategies"" that working poor
parents name as indigenous to their efforts to mediate the demands of work and
caregiving, yet are often overlooked in the broader policy discourse. The paper will
present initial findings from the parent data of the Across the Boundaries Project, a
collaboration between the Radcliffe Public Policy Center and 9to5, National Association
of Working Women funded by the Casey and Ford Foundations. This project seeks to
identify, illuminate and support positive strategies and collaborations that exist ""on the
ground"" between working-poor families, local employers, and community institutions.",Citizenship;Class;Ethics;Gender;Governance;Labor;Market services;Social care;Social practices,N/A,N/A,TRUE,,
DorSar,Dorow,Sara,Claiming the Marginalized: Cultural and Political Tensions in Caring for Abandoned Children in China,2001,"Caring for marginalized people, especially when those people are children, involves not
only claiming ways to meet their needs but also naming those needs to begin with. This
'n aming and claiming' process occurs within sol ciraelations of power that are variously
racial, cultural, national, and gendered. In this paper, I use ethnographic evidence to
examine tensions around the processes of naming needs and claiming care of abandoned
children in China, particularly among local and foreign caregivers in several cities in China.
I further discuss how adoption as a potential antidote to the marginalization of abandoned
children intervenes in those tensions.",Citizenship;Class;Ethics;Gender;Governance;Labor;Migration;Race;Social care;Social practices,East Asia;United States,China,TRUE,,
EliNin,Eliasoph,Nina,Raising Good Citizens in a Bad Society: An Ethnographic Study of Conversation about the Wider World,2001,"How do adults and youth talk about the wider world together? How do adults who themselves are alarmed about the state of the world--and especially alarmed about the state of care-giving itself--talk to kids about this world? When adults cannot call upon any specific cultural tradition to root moral and political positions, how do they try to hand down something that they don't have? How do youth invoke the wider world in their own interactions? Examining a wide range of day care centers, after-school and summer programs, service groups, and current events classes shows how people actually address these and other dilemmas, in various ways, in actual conversation.",Citizenship;Ethics;Labor;Social care;Social practices,United States,N/A,TRUE,,
GanEll,Gannett,Ellen,Carework in School-Age Care and Youth Work,2001,"Ellen Gannett will describe the context of carework in this field, including structural issues and working conditions; the role of relationships between workers and children; the value ascribed to this type of work; and key advocacy issues for workers in this field. For example, staff in after-school programs have traditionally worked part-time, in programs that operated from 3 pm to 6 pm. Staff whose primary work hours are part-time, are then expected to work full-days on holidays and vacation weeks – an irregular schedule that could be incompatible with other family responsibilities of the caregive",Affect;Class;Labor;Market services;Social care;Social practices,N/A,N/A,TRUE,,
GorJan;MeyMar1,Gornick;Meyers,Janet;Marcia,Building the Dual Earner/Dual Carer Society: Policy Lessons from Europe,2001,"This paper assesses social and labor market policies that support parents' efforts to
combine employment and caregiving, with a focus on child care, family leave, and the
regulation of working time. We identify a policy package that is gender egalitarian and
“child friendly”; it aims to enable and support symmetrical engagement in paid work and
caregiving by mothers and fathers. In an empirical component, we assess the extent to
which fourteen industrialized countries -- the United States, Canada, Australia, and eleven
European countries -- are faring, as of the middle 1990s, vis-a-vis these goals. We close
with policy recommendations tailored to the U.S",Citizenship;Class;Gender;Governance;Labor;Market services;Social care;Social practices;Theory,United States,N/A,TRUE,,
HanKar,Hansen,Karen V.,Men in Networks of Care for Children,2001,"This paper explores the ways that men – not just fathers, but uncles, friends, and grandfathers -- are involved in the lives of school-aged children. It is based on a qualitative study conducted in Northern California with forty people involved in four networks of care for children. Through probing and thoughtful reflections on their own fathers, their childhood, and the challenges of how to be a man involved in rearing children, these men talk about their relationships with children. As in other research on men, their accounts provide evidence of laughter and fun as well as the teaching of life skills and community responsibility.",Citizenship;Class;Disability;Ethics;Gender;Labor;Market services;Social care;Social practices;Theory,United States,California,TRUE,,
HaySha,Hays,Sharon,"Whose ‘Family Values?’: Carework, Citizenship, and Welfare Reform",2001,Morning plenary for inaugural of conference,Citizenship;Class;Gender;Governance;Labor;Market services;Social care;Social practices,United States,N/A,TRUE,,
HunVic,Hunter,Vicki,The Role of Network-Based Support in the Transition from Welfare to Work,2001,"An important assumption underlying welfare reform policies is that women who are unable to become self-sufficient through work can rely on their family and friends for necessary assistance. The purpose of this research was to examine the use of informal networks by welfare-reliant women. In order to do this, I examined the following main topics: variations in the social support available to women, who provided different types of social support, the ways that women reciprocated that support, and the women’s perceptions of their role within support networks. The data for this study consisted of ethnographic interviews with forty-five welfare-reliant mothers in Cleveland, Ohio in 1998.",Citizenship;Gender;Governance;Labor;Market services;Social care;Social practices,United States,"Cleveland, Ohio",TRUE,,
KurDem,Kurz,Demie,"Inequality, Carework, and Mothers",2001,"In the past decade, a small group of researchers has created an important body of scholarship on the subject of carework. With the exception of their focus on gender, however, these researchers have not given sufficient attention to the contexts of power and inequality in which careworkers, primarily women, do this work. For example, there has been little attention to how race and class hierarchies structure carework. Women careworkers are not all equal—white women and higher-class women careworkers often have greater access to resources than do women of color. This paper focuses on how power and inequality operate in the organization and provision of the carework that mothers do with their teenage children. I examine the stratification system among mothers with teenage children, which I define as the differential opportunities and resources that mothers have as they do the work of parenting. I look at mothers’ relationship to race, class, gender and other hierarchies. My conclusions are based on interviews with a diverse sample of mothers, and some fathers, from urban and suburban communities.",Citizenship;Class;Ethics;Gender;Labor;Race;Social care;Social practices,United States,N/A,TRUE,,
LevCar,Levine,Carol,Family Caregivers and Health Care Professionals: A Deep But Unacknowledged Cultural Divide,2001,"Many difficulties family caregivers encounter in the health care system derive from the
differences between family values and professional cultures. The primary values of
Western medicine are: evidence-based data; legal or regulatory oversight; efficiency;
consistency; confidentiality of medical information; technological solutions; hierarchical
organizations; and individual patient autonomy. Whatever their differences, most families
have common core values: the importance of relationships established by blood, marriage,
or commitment; the absence of public oversight; emotional rather than professional or
financial rewards; moral rather than legal obligations; privacy of decision making; and
family rather than individual autonomy. This paper summarizes the findings of a United
Hospital Fund-Hastings Center multidisciplinary working group that examined these
cultural differences.",Affect;Aging;Ethics;Gender;Governance;Healthcare;Labor;Market services;Race;Social care;Social practices,United States,N/A,TRUE,,
