Unique ID,Authors,Title of Presentation,Yr Presented,Title of the Work,Yr published,Venue/Publication,Type,Topics/Trends (L),Methodologies,Region (L),Locality,Link,Notes,Who?,Checked?,Zotero?
FolNan,Nancy Folbre,The Invisible Heart: Economics and Family Values,2000,The Invisible Heart: Economics and Family Values,2002,The News Press,Book,Aging;Disability;Citizenship;Class;Eldercare;Gender;Governance;Labor;Market services;Social care;Social practices;Theory,N/A,N/A,N/A,https://www.amazon.com/Invisible-Heart-Economics-Family-Values/dp/1565847474,,,TRUE,FALSE
GerMar;SarNat,Mariana Gerena;Natalia Sarkisian;Naomi Gerstel,"Detecting Distinctions: Latinas, Latinos, and Care Work",2000,"Extended Family Integration Among Euro and Mexican Americans: Ethnicity, Gender, and Class",2007,Journal of Marriage and Family,Journal article,Class;Gender;Labor;Race;Social care;Social practices,Quantitative;Surveys,United States,N/A,https://www.academia.edu/32245275/Extended_Family_Integration_Among_Euro_and_Mexican_Americans_Ethnicity_Gender_and_Class,,,TRUE,FALSE
GleEve,Evelyn Glenn,"""Reproducing Inequality: Race, Class and Caring Labor""",2000,"Racial Ethnic Women's Labor: The Intersection of Race, Gender, Class Oppression",1985,Review of Radical Political Economics,Journal Article,Class;Gender;Governance;Labor;Market services;Race;Social care;Social practices;Theory,Historical analysis;Literature review;Qualitative,United States,N/A,https://journals.sagepub.com/doi/10.1177/048661348501700306,,,TRUE,FALSE
HerPam;MeyMad,Pamela Herd;Madonna Harrington Meyer,Care work: Invisible Civic Engagement,2000,Care work: Invisible Civic Engagement,2002,Gender & Society,Journal article,Citizenship;Gender;Governance;Labor;Market services;Social care;Social practices;Theory,Literature review,N/A,N/A,https://www.jstor.org/stable/3081954,,,TRUE,FALSE
KelChr2;FoxBon,Christa Kelleher;Bonnie Fox,"Changing
Diapers and Changing Men: Differential Parenting Roles in Infant Care",2000,"Nurturing Babies, Protecting Men: The Unequal Dynamics of Women's Postpartum Caregiving Practices",2002,Child Care & Inquality: Rethinking Carework for Children & Youth,Book chapter,Gender;Labor;Social care;Social practices,Interviews;Qualitative,Canada,Toronto,,,,TRUE,FALSE
LonAnd;ScoEll;EdiKat;HunVic,Andrew London;Ellen Scott; Kathryn Edin;Vicki Hunter,"Health-Related Caregiving and Welfare
Reform: The Choices Welfare-Reliant Women and Policy Makers Face",2000,"Welfare Reform, Work-Family Tradeoffs, and Child Well-Being",2004,"Family Relations
""Special Issue on Low-Income and Working-Poor Families""",Journal article,Class;Gender;Governance;Healthcare;Labor;Market services;Race;Social care;Social practices,Ethnography;Interviews;Qualitative,United States,N/A,https://www.jstor.org/stable/3700258?seq=3,,,TRUE,FALSE
MacCam;MerDav,Cameron Macdonald;David A. Merrill,"Love and Money: Recognizing and
Valuing Care Work;The Value of Care: Discourse and Nurses",2000,"""It Shouldn't Have to Be A Trade"": Recognition and Redistribution in Care Work Advocacy",2002,Hypatia,Journal article,Affect;Class;Gender;Labor;Market services;Metrics;Social care;Social practices;Theory,Discursive analysis;Interviews;Qualitative,N/A,N/A,https://muse.jhu.edu/pub/3/article/14249/pdf?casa_token=QyBMNYvEIloAAAAA:g_8prFw2N92lLjv4WL-xeU5Wmcii5nfBeWviFUC06Gwc90HiU87MSA68ly4XBPCMLy9UNwIGxCs,,,TRUE,FALSE
MorChr,Christine Morton;Elayne G. Clift,"From Private to Public: The
Emergence of Labor Support Professionals within Maternity Care",2000,"Birth Ambassadors: Doulas and the Re-Emergence of Woman-Supported Birth in
America",2014,Praeclarus Press,Book,Gender;Healthcare;Labor;Market services;Social care;Social practices,Historical analysis;Interviews;Qualitative,United States,N/A,https://www.amazon.com/Birth-Ambassadors-Re-Emergence-Woman-Supported-America/dp/1939807069,,,TRUE,FALSE
NapNan;DobMar,Nancy Naples;Marnie Dobson,"Care, Community Activism, and Citizenship: Towards a Multiracial Feminist Social Democratic Praxis",2000,Feminists and the welfare state: Aboriginal health care workers and US community workers of color.,2001,NWSA Journal,Journal article,Citizenship;Class;Gender;Governance;Healthcare;Indigenous peoples;Labor;Market services;Race;Social care;Social practices;Theory,Interviews;Qualitative,Australasia;United States,Australia;New York City;Philadelphia,https://www.jstor.org/stable/4316846?seq=5,,,TRUE,FALSE
OliSta,Stacey Oliker,Challenges for Studying Care after AFDC,2000,Challenges for Studying Care after AFDC,2000,Qualitative Sociology,Journal article,Class;Gender;Governance;Race;Labor;Market services;Metrics;Social care;Social practices,Literature review,United States,N/A,https://link.springer.com/article/10.1023/A:1005578825668,,,TRUE,FALSE
PolRiv,M. Rivka Polatnick,Issues of After-School Care at the Middle School Level,2000,Too Old for Child Care? Too Young for Self-care?: Negotiating After-school Arrangements for Middle School,2002,Journal of Family Issues,Journal article,Class;Labor;Market services;Race;Social care;Social practices,Focus-group;Interviews;Qualitative,United States,California,https://journals.sagepub.com/doi/pdf/10.1177/0192513X02023006003?casa_token=pnk9t250Oz4AAAAA:k737Nuc3_XA9uw1vUPhrEoGF5QlfFPx6SCkSobdoLnMzQqB0MTTEVl2nVubMABMoumtdFfxuJA92PQ,,,TRUE,FALSE
SarNat;GerNao,Natalia Sarkisian;Naomi Gerstel,"More or Less Kin: Addressing Debates on Care Work in African American
Communities",2000,Kin Support among Blacks and Whites: Race and Family Organization,2004,American Sociological Review,Journal Article,Class;Gender;Labor;Race;Social care;Social practices,Literature review;Qualitative;Surveys,United States,N/A,https://journals.sagepub.com/doi/pdf/10.1177/000312240406900604?casa_token=u0nCP8i1C7YAAAAA:gSGYA1cZblEvgV8J7VwJx5yChxxwkejoLzh3KTQq0v0-jl5Tbdz44xjWTdiBMPS795qmJWOYTGAOtw,,,TRUE,FALSE
TuoMar,Mary Tuominen,The Politicization of Paid Care Workers: Organizing and Activism Among Childcare Providers,2000,We are not babysitters: Family childcare providers redefine work and care,2003,Rutgers University Press,Book,Affect;Class;Gender;Governance;Labor;Market services;Migration;Race;Social care;Social practices;Theory,Interviews;Qualitative,United States,N/A,https://eric.ed.gov/?id=ED478234,,,TRUE,FALSE
UttLyn;TuoMar,Lynet Uttal;Mary Tuominen,"Going Public: Why Child Care Work is
still Women's Work",2000,"Tenuous Relationships: Exploitation, Emotion, and Racial Ethnic Significance in Paid Child Care Work",1999,Gender and Society,Journal article,Affect;Class;Gender;Governance;Labor;Market services;Metrics;Race;Social care;Social practices;Theory,Literature review,N/A,N/A,https://www.jstor.org/stable/190439?seq=3,,,TRUE,FALSE
KriKat,Katrin Kriz,"A Tale of Two Countries: How Family Policy Shapes the
Distribution of Childcare Work in German and British Families",2000,"How Grandmothers Become ""Second Moms"" Family Policies and Grandmothering in Britain, Germany and Sweden
",2005, Journal of the Association for Research on Mothering,Journal article,Aging;Class;Gender;Governance;Labor;Market services;Social care;Social practices;,Interviews;Qualitative,Scandanavia;Western Europe,Britain;Germany;Sweden,https://jarm.journals.yorku.ca/index.php/jarm/article/view/4982/4176,,,TRUE,FALSE
KapEla,Elaine Bell Kaplan,"Doing Care on the Run: How Working Parents Negotiate the Care of Young Adolescent
Children",2000,Doing Care on the Run: Family Strategies in the Contested Terrain of Gender and Institutional Intransigence,2010,Journal of Contemporary Ethnography,Journal article,Affect;Gender;Labor;Market services;Race;Social care;Social practices,Ethnography;Interviews,N/A,N/A,https://journals.sagepub.com/doi/10.1177/0891241610385343,,,TRUE,FALSE
NapNan,Nancy Naples,"Care, Community Activism, and Citizenship: Towards a Multiracial Feminist Social Democratic Praxis",2000,Activist Mothering and Community Work: Fighting Oppression in Low-Income Neighborhoods,2002,Child Care & Inquality: Rethinking Carework for Children & Youth,Book chapter,Citizenship;Class;Gender;Governance;Labor;Market services;Race;Social care;Social practices;Theory,Interviews;Qualitative,United States,New York City;Philadelphia,,,,TRUE,FALSE
SanAnd,Andrea Sankar,Beyond Personal Experience: An Analysis of Caregiving Practice,2000,Dying at Home A Family Guide for Caregiving,1991;2000,Johns Hopkins University Press,Book,Affect;Aging;Class;Eldercare;Governance;Healthcare;Labor;Market services;Social care;Social practices;Technology,Interviews;Qualitative,N/A,N/A,https://www.amazon.com/Dying-Home-Family-Caregiving-Hopkins/dp/0801862035,,,TRUE,FALSE
AbeEmi,Emily Abel,Beyond Personal Experience: An Analysis of Caregiving Practice,2000,A “Terrible and Exhausting” Struggle: Family Caregiving During the Transformation of Medicine,1995,Journal of the History of Medicine and Allied Sciences,Journal article,Affect;Aging;Gender;Governance;Healthcare;Labor;Market services;Social care;Social practices;Technology,Historical analysis;Qualitative,United States,N/A,,,,TRUE,FALSE
SchMic,Michaela V. Schunk,"Welfare States, Institutional Environments And Cultures Of Care: The Cross-National Comparison Of Care Delivery
And Pathways Through Care For Older People",2000,A comparative study of care for the elderly in Britain and Germany,1997,The University of Manchester,Dissertation,Aging;Governance;Healthcare;Market services;Metrics;Social care;Social practices,Ethnography;Interviews;Literature review;Qualitative;Theory,United States;Central Europe;Western Europe,England;Germany,https://www.proquest.com/docview/1964752578?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses,,,TRUE,FALSE
TraRan,Rannveig Traustadottir,"Rejected Carers: Gender, Caring and Marginalization",2000,"Women with Disabilities: Issues, Resources, Connections Revised",1997,The Center on Human Policy Syracuse University,Report,Disability;Gender;Healthcare;Labor;Market services;Queer;Social care;Social practices,Literature review,N/A,N/A,https://www.independentliving.org/docs3/chp1997.pdf,,,TRUE,FALSE
TreLin,Linda Treiber,The Care-Cure Dilemma: Straddling the Faultline Between Nursing’s and Medicine’s Way of Knowing,2000,The care/cure dichotomy: nursing's struggle with dualism,2015,Health Sociology Review,Journal article,Affect;Ethics;Gender;Healthcare;Labor;Market services;Metrics;Social care;Social practices,Theory,United States,N/A,https://www.tandfonline.com/doi/full/10.1080/14461242.2014.999404?scroll=top&needAccess=true,,,TRUE,FALSE
WaeKar,Kari Waerness,"Care work in the Scandinavian Welfare State - How is it Changing in Late
Modernity?",2000,Research on care: what impact on policy and planning?,2006,Cash and care: Policy challenges in the welfare state,Book chapter,Class;Gender;Governance;Labor;Market services;Social care;Social practices,Literature review;Theory,Scandanavia;Western Europe,Britain,https://www.cambridge.org/core/books/abs/cash-and-care/research-on-care-what-impact-on-policy-and-planning/D3B7B8C7F758583296CC087DA3A38649,,,TRUE,FALSE
ZimMar;LitJac,Mary K. Zimmerman;Jacquelyn Litt,Care Work as a Production of State-Market-Family Relations in Finland and the U.S.,2000,Global Dimensions of Gender and Carework,2006,Stanford University Press,Book,Class;Disability;Gender;Governance;Labor;Market services;Migration;Social care;Social practices,Interviews;Qualitative,N/A,N/A,https://www.sup.org/books/extra/?id=8565&i=Table_of_Contents_pages,,,TRUE,FALSE
ZimMar,Mary K. Zimmerman,Care Work as a Production of State-Market-Family Relations in Finland and the U.S.,2000,"Theorizing Inequality: Comparative Policy Regimes, Gender, and Everyday Lives",2013,The Sociological Quarterly,Journal article,Class;Disability;Gender;Governance;Healthcare;Labor;Market services;Social care;Social practices,Interviews;Literature review;Qualitative;Theory,Scandanavia;United States,Finland,https://www.tandfonline.com/doi/epdf/10.1111/tsq.12003?needAccess=true,,,TRUE,FALSE
ColSco;AdaMic,Scott Coltrane,"""Gendered Carework in Mexican American Families: Predicting Men’s Empathetic Parenting""",2000,Complexity of Father Involvement in Low-Income Mexican American Families,2008,Family Relations,Journal article,Class;Gender;Labor;Market services;Race;Social care;Social practices,Quantitative;Surveys;Theory,United States,N/A,https://onlinelibrary.wiley.com/doi/full/10.1111/j.0022-2445.2004.00008.x,,,TRUE,FALSE
ColSco,Scott Coltrane,"""Gendered Carework in Mexican American Families: Predicting Men’s Empathetic Parenting""",2000,Assessing Father Involvement in Mexican-American Families,2003,Conceptualizing and Measuring Father Involvement,Book chapter,Class;Ethics;Migration;Race;Social practices,Literature review;Theory,United States,N/A,https://www.taylorfrancis.com/chapters/edit/10.4324/9781410609380-9/assessing-father-involvement-mexican-american-families?context=ubx&refId=c9ad7a69-3113-4ea3-a587-48b4b4a23681,,,TRUE,FALSE
ColSco;AdaMic,Scott Coltrane;Michele Adams,"""Gendered Carework in Mexican American Families: Predicting Men’s Empathetic Parenting""",2000,Men's Family Work: Child-Centered Fathering and the Sharing of Domestic Labor,2001,Working Families,Book chapter,Gender;Labor;Market services;Social care;Social practices,Quantitative;Surveys,United States,N/A,https://doi.org/10.1525/9780520926035-006,,,TRUE,FALSE
ArmPat,Pat Armstrong,Health Care Reform in Canada,2001,Exposing Privatization: Women and Health Care Reform in Canada,2001,University of Toronto Press,Book,Aging;Citizenship;Class;Disability;Eldercare;Ethics;Gender;Governance;Healthcare;Labor;Market services;Metrics;Queer;Race;Social care;Social practices,N/A,Canada,Ontario,https://www.researchgate.net/publication/281378614_Exposing_Privatization_Women_and_Health_Care_Reform,,,TRUE,FALSE
BouIvy;ArmPat;ArmHug;ChoJac;MykEri;WhiJer,Ivy Bourgeault;Pat Armstrong;Hugh Armstrong;Jacqueline Choiniere;Eric Mykhalovskiy;Jerry White,California Nurses Speak About Managed Care,2001,Everyday Experiences of Implicit Rationing: Comparing the Voices of Nurses in California and British Columbia,2001,Sociology of Health & Illness,Journal article,Affect;Citizenship;Class;Ethics;Gender;Governance;Healthcare;Labor;Market services;Social care;Social practices,Focus-group;Interviews;Qualitative;Theory,United States;Canada,California;British Columbia,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1467-9566.00269,,,TRUE,FALSE
CohRin,Rina Cohen,"Not Just Paper Children': Transnational Motherhood among Filipina Domestic Workers
in Toronto",2001,"""Mom is a Stranger"": The Negative Impact of Immigration Policies on the Family Life of Filipina Domestic Workers",2000,Canadian Ethnic Studies Journal,Journal article,Class;Gender;Governance;Labor;Market services;Migration;Race;Social care;Social practices,Interviews;Qualitative,Canada,N/A,https://go.gale.com/ps/i.do?id=GALE%7CA78527363&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00083496&p=LitRC&sw=w&userGroupName=anon%7E4f0c306b&aty=open-web-entry,,,TRUE,FALSE
ColSco,Scott Coltrane,Children's Housework in Working Class Mexican American Families,2001,Research on Household Labor: Modeling and Measuring the Social Embeddedness of Routine Family Work,2004,Journal of Marriage and Family,Journal article,Class;Gender;Labor;Market services;Race;Social care;Social practices,Literature review;Theory,N/A,N/A,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1741-3737.2000.01208.x,,,TRUE,FALSE
EliNin,Nina Eliasoph;Paul Lichterman,"Raising Good Citizens in a Bad Society: An Ethnographic Study of Conversation about
the Wider World",2001,Culture in Interaction,2003,American Journal of Sociology,Journal Article,Citizenship;Social care;Social practices,Discursive analysis;Ethnography;Qualitative;Interviews;Theory,N/A,N/A,https://www.jstor.org/stable/10.1086/367920?seq=1,,,TRUE,FALSE
GorJan;MeyMar1,Janet Gornick;Marcia Meyers,Building the Dual Earner/Dual Carer Society: Policy Lessons from Europe,2001,Families That Work: Policies for Reconciling Parenthood and Employment,2003,Russell Sage Foundation,Book,Citizenship;Class;Gender;Governance;Labor;Market services;Social care;Social practices,Literature review;Quantitative;Surveys;Theory,United States,N/A,https://www.jstor.org/stable/10.7758/9781610442510,,,TRUE,FALSE
HanKar,Karen V. Hansen,Men in Networks of Care for Children,2001,"Not-So-Nuclear Families: Class, Gender, and Networks of Care",2005,Rutgers University Press,Book,Citizenship;Class;Disability;Ethics;Gender;Labor;Market services;Social care;Social practices,Interviews;Qualitative;Theory,United States,California,https://www.jstor.org/stable/j.ctt5hj4h0,,,TRUE,FALSE
KurDem;CanFra;LonAnd;TuoMar;AbeEmi;DefJoa;KelChr2;FoxBon;ScoEll;HunVic;NapNan;ChrKar;EngPau;FolNan;FitHea;RevReb,Demie Kurz;Francesca Cancian;Andrew London;Mary Tuominen;Emily Abel;Joanne DeFiore;Christa Kelleher;Bonnie Fox;Ellen Scott;Vicki Hunter;Nancy Naples;Karen Christopher;Paula England;Nancy Folbre;Heather FitzGibbon;Rebecca Reviere,"Inequality, Carework, and Mothers",2001,Child Care and Inequality: Re-Thinking Carework for Children and Youth,2002,Taylor & Francis,Book,Affect;Citizenship;Class;Disability;Ethics;Gender;Governance;Healthcare;Labor;Market services;Metrics;Queer;Race;Social care;Social practices;Theory,Ethnography;Historical analysis;Interviews;Qualitative,United States,N/A,https://www.routledge.com/Child-Care-and-Inequality-Re-Thinking-Carework-for-Children-and-Youth/Kurz-Cancian-London-Reviere-Tuominen/p/book/9780415933513,,,TRUE,FALSE
LevCar,Carol Levine;Thomas Murray;Christine Cassel,Family Caregivers and Health Care Professionals: A Deep But Unacknowledged Cultural Divide,2001,"The Cultures of Caregiving: Conflict and Common Ground among Families, Health Professionals, and Policy Makers",2007,Johns Hopkins University Press,Book,Affect;Aging;Ethics;Gender;Governance;Healthcare;Labor;Market services;Race;Social care;Social practices,Quantitative;Qualitative,United States,N/A,https://www.press.jhu.edu/books/title/3389/cultures-caregiving,,,TRUE,FALSE
NelMar;AbeEmi,Margaret Nelson;Emily Abel,Where Public and Private Meet: A Privileged Perspective,2001,Circles of Care: Work and Identity in Women's Lives,1990,SUNY Press,Book,Affect;Aging;Class;Disability;Gender;Healthcare;Labor;Market Services;Metrics;Race;Social care;Social practices,Interviews;Literature review;Qualitative,N/A,N/A,https://sunypress.edu/Books/C/Circles-of-Care,,,TRUE,FALSE
NooAnn,Anne Noonan,Two Faces of Meaning in Elder Care,2001,"Meaning in Caregiving and Its Contribution
to Caregiver Weil-Being
",1997,The Gerontological Society of America,Journal article,Affect;Aging;Healthcare;Labor;Social care;Social practices;Theory,Interviews;Qualitative;Quantitative;Theory,United States,N/A,https://academic.oup.com/gerontologist/article/37/6/785/649273?login=false,,,TRUE,FALSE
ParRha,Rhacel Salazar Parrenas,Colonialism and Care: Gender and Labor Migration in the New Global Economy,2001,Migrant Filipina Domestic Workers and the International Division of Reproductive Labor,2000,Gender and Society,Journal article,Affect;Class;Gender;Governance;Labor;Market services;Migration;Social care;Social practices,Interviews;Qualitative;Theory,United States,N/A,https://www.jstor.org/stable/190302,,,TRUE,FALSE
SchTer,Teresa Scherzer,"The Race and Class of Women's Work: Reproducing Inequalities in Hospital Nursing and
the Implications for Labor Solidarity",2001,The Race and Class of Women's Work,2003,"Race, Gender & Class",Journal article,Class;Gender;Healthcare;Labor;Market services;Race;Social care;Social practices,Historical analysis;Theory,N/A,N/A,https://www.jstor.org/stable/41675086,,,TRUE,FALSE
ScoGil;CamJim;BroUsh,Gill Scott;Jim Campbell;Usha Brown,Childcare–Poor Work or Work for the Poor?,2001,The Contribution of Childcare to Local Employment: Poor Work or Work for the Poor?,2001,Local Economy,Journal Article,Childcare;Class;Gender;Governance;Labor;Market services;Social care;Social practices,Qualitative,N/A,N/A,https://journals.sagepub.com/doi/abs/10.1080/02690940122196?journalCode=leca,,,TRUE,FALSE
TreJud;MazSha,Judith Treas;Shampa Mazumdar,Caregiving and Transnational Elders,2001,Kinkeeping and Caregiving: Contributions of Older People in Immigrant Families,2004,Journal of Comparative Family Studies,Journal article,Aging;Cultural care;Migration;Social practices,Interviews;Qualitative,United States,California,https://www.jstor.org/stable/41603919,,,TRUE,FALSE
TuoMar,Mary Tuominen,Our Voices are Coming Out: Organizing and Activism among Family Childcare Providers,2001,"Speaking and Organizing across Difference: The Multiracial, Grassroots Mobilization of Child Care Workers",2012,Feminist Formations,Journal Article,Childcare;Class;Cultural care;Gender;Governance;Labor;Market services;Race;Social care;Social movements;Social practices,Ethography;Interviews;Qualitative,United States,N/A,https://www.jstor.org/stable/23275088,,,TRUE,FALSE
WakChi,Chizuko Wakabayashi;Katharine Donato,Economic Consequences of Caregiving for the Elderly on Women’s Lives,2001,The Consequences of Caregiving: Effects on Women's Employment and Earnings,2005,Population Research and Policy Review,Journal Article,Aging;Childcare;Class;Gender;Labor;Market services;Social care;Social practices,Quantitative;Qualitative;Surveys,United States,N/A,https://link.springer.com/article/10.1007/s11113-005-3805-y,,,TRUE,FALSE
WelChr,Chris Wellin,Concepts and Practices of Personal Care: The Fragile Self in Alzheimer’s Disease,2001,In Search of “Personal Care”: Challenges to Identity Support in Residential Care for Elders with Cognitive Illness,2004,Journal of Aging Studies,Journal Article,Affect;Aging;Disability;Governance;Healthcare;Labor;Market serivces;Social care;Social practices,Ethnography;Qualitative;Theory,United States,N/A,https://www.sciencedirect.com/science/article/abs/pii/S089040650400026X,,,TRUE,FALSE
WriEri;GayMat;VigTer;RauNar;LinBev,Eric R. Wright;Mathew Gayman;TerriViggiano;N. Leela Rau;Beverly Linde,"Stigmatizing Care: Medical Staff Perceptions of Psychiatric Patients in a General Hospital
Emergency Room",2001,The effect of organizational climate on the clinical care of patients with mental health problems,2003,Journal of Emergency Nursing,Journal article,Disability;Healthcare;Labor;Market services;Social care;Social practices,Quantitative;Surveys,United States,Mid-West,https://www.sciencedirect.com/science/article/abs/pii/S0099176703001752,,,TRUE,FALSE
YamYok,Yoko Yamamoto,Challenges Facing Mothers in Japan: Social Networks and the Scope of Child-Rearing Carework,2001,Gender and social class differences in Japanese mothers’ beliefs about children's education and socialisation,2015,Gender and Education,Journal article,Class;Gender;Labor;Social care;Social practices,Interviews;Qualitative,East Asia,Japan,https://www.tandfonline.com/doi/full/10.1080/09540253.2015.1091917,,,TRUE,FALSE
BouSal,Sally Bould,Neighborhoods as a Locus of Inequalities in Carework,2001,NEIGHBORHOODS AND INEQUALITY: THE POSSIBILITIES FOR SUCCESSFUL TRANSITION TO ADULTHOOD,2003,Sociological Studies of Children and Youth,Journal article,Citizenship;Class;Gender;Labor;Race;Social care;Social practices;Theory,Interviews;Literature review;Qualitative,N/A,N/A,https://doi.org/10.1016/S1537-4661(03)09004-4,,,TRUE,FALSE
DodLis;ManTif,Lisa Dodson;Tiffany Manuel,Across the Boundaries of Paid Work and Care Work in Low-Income America,2001,Keeping jobs and raising families in low-income America : it just doesn't work,2002,Radcliffe Public Policy Institute,Book,Citizenship;Class;Ethics;Gender;Governance;Labor;Market services;Social care;Social practices,N/A,N/A,N/A,https://search.worldcat.org/title/50173754?oclcNum=50173754,,,TRUE,FALSE
DodLis;AlbRan,Lisa Dodson;Randy Albelda,Across the Boundaries of Paid Work and Care Work in Low-Income America,2001,How Youth Are Put At Risk by Parents’ Low-Wage Jobs,2012,Center for Social Policy University of Massachusetts Boston,Policy brief,Class;Gender;Healthcare;Labor;Market services;Migration;Race;Social care;Social practices,Literature review,United States,N/A,https://www.umb.edu/media/umassboston/content-assets/csp/pdf/Youth_at_risk_lowwage_parents_April20131.pdf,,,TRUE,FALSE
DodLis,Lisa Dodson,Across the Boundaries of Paid Work and Care Work in Low-Income America,2001,The Moral Underground How Ordinary Americans Subvert an Unfair Economy,2011,The New Press,Book,Citizenship;Class;Ethics;Governance;Healthcare;Market services;Labor;Social care;Social practices,Ethnography;Interviews;Qualitative,United States,N/A,https://thenewpress.com/books/moral-underground,,,TRUE,FALSE
DodLis,Lisa Dodson;Amanda Freeman,Across the Boundaries of Paid Work and Care Work in Low-Income America,2001,Getting Me Cheap: How Low Wage Work Traps Women and Girls in Poverty,2022,The New Press,Book,Citizenship;Class;Ethics;Gender;Governance;Healthcare;Labor;Market services;Social care;Social practices,Ethnography;Interviews;Qualitative,United States,N/A,https://thenewpress.com/books/getting-me-cheap,,,TRUE,FALSE
